,qrs_dur_mean,t_dur_mean,qt_dur_mean,t_pe_mean,jt_dur_mean,EDVL,ESVL,PmaxL,LVEF,SVL,dvdt_ejection,dvdt_filling,dpdt_max,EDVR,ESVR,PmaxR,SVR
sf_gnal,-0.6210590034081176,0.3391182899558797,0.7286041950784151,0.5751464851607426,0.7285438478914003,-0.9409378200867942,-0.7422639822660211,0.9689612346711114,0.7322086508792599,0.7263293811178478,0.9555330858862304,-0.5083164656920554,-0.9367708513702995,-0.9466621145337104,-0.8639382009954887,0.9784951680681677,0.858005728365808
sf_gkr,-0.7944613465542836,-0.11886039631170409,-0.7461958120991508,-0.08779625978941524,-0.7460869769983948,0.4050690781678312,0.8022139241827493,-0.9743766572784732,-0.8277026079217834,-0.8416411345846316,-0.9764082219032036,-0.2487399241431635,0.3899384537593311,0.9072978846143975,0.8668311172491698,-0.9191209947002069,-0.8633792859346012
sf_gnak,0.9266473405330681,0.660943367213539,-0.9383046528256004,-0.6445511606809988,-0.939721099300094,0.9142498001572296,0.9794778251049429,-0.9936823914610163,-0.9825447702344225,-0.9840156378965522,-0.9555330858862304,-0.9707688862756915,0.91339186125616,0.9832871129274768,0.98603927939338,-0.9908712282930505,-0.9861789908400438
sf_gcal,-0.9847013188057985,0.24182512503174375,-0.03471569500405945,-0.6078513878643552,-0.011245704404251447,-0.5020290088398923,-0.9395664471902083,0.5975293795658431,0.8718477150410804,0.6951293865989917,0.7862551630128084,0.12286141967899555,-0.9885230571934025,-0.7276357229589272,-0.9485157372507443,0.6329217902533281,0.9497681834992759
sf_jup,0.17863497256807553,0.21157009748610983,0.06669862015074415,0.6926510254345556,0.062152571931187964,-0.9714894987898902,0.632110049147262,0.40667769113594354,-0.7305744531520949,-0.7595245623774949,0.5442754898047187,-0.7602498299274054,0.3837508437611562,-0.7478817938246387,0.4459657078504,0.7033723239228261,-0.6270499597503143
tref_scaling_myocardium,-0.7464676351646135,0.25962733979965436,0.19877871568216912,0.1774446364055476,0.19943493474421772,-0.9999191487364719,-0.9050118964163654,0.6122615979705587,0.8899739436257526,0.8853549341210584,0.9310203324990768,0.566602360933799,-0.999653661733944,-0.6967837548009719,-0.9916767258063394,0.9196144732985078,0.989809563079015
cal50_myocardium,-0.041380294430101494,-0.3604792550234581,-0.4003238807987062,-0.4030229287407377,-0.4002626960551119,0.8327597568635375,0.9773520061610127,0.7302429967651851,0.0006200081278764028,0.4012061074236979,-0.5998984434401738,-0.19620240911966894,-0.6522343490644225,0.6631232674021746,0.9933015014314324,0.29580299018401485,-0.15677157867147962
sfkws_myocardium,0.5915204817512922,0.28906681410447005,-0.7610943550173662,-0.6163465672500681,-0.817807754799098,0.6076199187480524,-0.9371010300284668,0.7797591036304251,0.8139604448055361,0.8106324968490365,-0.524053384440543,0.9258122939469045,-0.6111476733323856,0.5460593074111504,-0.95387309277962,0.9848795274998989,0.839503565802828
pericardial_stiffness,-0.8533103351879142,0.8626118473194994,-0.7895420339517499,-0.8610358561447077,-0.5590653920197121,-0.926668808870523,0.9624209232944866,-0.93092475177932,-0.9486071939654654,-0.9410491203515389,-0.9387780599559081,-0.950534664721593,-0.7838435477562394,-0.9224905149455201,0.9312235891637481,-0.9253235690922378,-0.9278568963315149
Kct_myocardium,-0.8245297695452211,0.25815524926856875,0.27377215358726004,0.2727955622753444,0.2761962210416988,-0.9743796317662997,0.6552967934724963,-0.5792814660966622,-0.798976881101436,-0.8093814544818146,-0.8893556960438151,0.2759174792421888,-0.9707126681259477,-0.927291676040688,0.6913190431652765,-0.7924147700677214,-0.753189987428783
